instance,votes,candidates,trivial,reductions,hull_val,hull_time,hull++_val,hull++_time,TMC_val,TMC_time,valtr_val,valtr_time,QCP_val,QCP_time,IR_val,IR_time
../PrefLib-Data/datasets/00053 - f1races/00053-00000006.soc,38,15,None,,False,0.0256460402160883,False,0.0263260044157505,False,1.2769319806248,False,0.111070103943348,None,None,False,0.115556623786688
../PrefLib-Data/datasets/00053 - f1races/00053-00000007.soc,59,16,None,,False,0.00222372263669968,False,0.00209317542612553,False,0.0670103654265404,False,0.258219921961427,None,None,False,5.72462886571884
../PrefLib-Data/datasets/00053 - f1races/00053-00000008.soc,33,15,None,,False,0.00139879249036312,False,0.0014188326895237,False,2.39898870512843,False,0.0512895733118057,None,None,False,1.84720069169998
../PrefLib-Data/datasets/00053 - f1races/00053-00000009.soc,25,15,None,,False,0.0108803641051054,False,0.0113215297460556,False,0.893597576767206,False,0.0489455703645945,None,None,False,27.6200272347778
../PrefLib-Data/datasets/00053 - f1races/00053-00000010.soc,35,13,None,,False,0.0289509110152721,False,0.0306083746254444,False,0.226691715419292,False,0.0259212944656611,None,None,False,0.103280272334814
../PrefLib-Data/datasets/00053 - f1races/00053-00000011.soc,36,11,None,,False,0.000812435522675514,False,0.000819187611341476,False,0.207765368744731,False,0.0350677389651537,None,None,False,1.13146286271513
../PrefLib-Data/datasets/00053 - f1races/00053-00000012.soc,36,16,None,,False,0.0244795083999634,False,0.0252134650945663,False,0.0844695419073105,False,0.0621343962848187,None,None,False,0.10572606138885
../PrefLib-Data/datasets/00053 - f1races/00053-00000013.soc,30,12,None,,False,0.0109326913952827,False,0.0111699905246496,False,0.00530685856938362,False,0.0112847164273262,None,None,False,1.49963501282036
../PrefLib-Data/datasets/00053 - f1races/00053-00000014.soc,46,19,None,,False,0.00102822296321392,False,0.000958170741796494,False,0.297356002032757,False,0.583814909681678,None,None,False,0.103027826175094
../PrefLib-Data/datasets/00053 - f1races/00053-00000015.soc,36,17,None,,False,0.00232449360191822,False,0.00224067643284798,False,0.00955411791801453,False,0.0130061022937298,None,None,False,0.14195141941309
../PrefLib-Data/datasets/00053 - f1races/00053-00000016.soc,44,9,None,,False,0.0128268096596003,False,0.0138826966285706,False,0.622757636010647,False,0.00590288452804089,None,None,False,0.164162363857031
../PrefLib-Data/datasets/00053 - f1races/00053-00000017.soc,33,16,None,,False,0.000911181792616844,False,0.000828314572572708,False,0.0560064967721701,False,0.0100820828229189,None,None,False,0.11802794970572
../PrefLib-Data/datasets/00053 - f1races/00053-00000018.soc,34,14,None,,False,0.016746973618865,False,0.0171659234911203,False,0.588553009554744,False,0.0610838122665882,None,None,False,1.73430806957185
../PrefLib-Data/datasets/00053 - f1races/00053-00000019.soc,48,18,None,,False,0.000973891466856003,False,0.000888679176568985,False,0.0653363894671202,False,0.385447040200233,None,None,False,0.145147990435362
../PrefLib-Data/datasets/00053 - f1races/00053-00000020.soc,42,16,None,,False,0.00146079994738102,False,0.00149088725447655,False,0.00902786292135716,False,0.00551805831491947,None,None,False,0.167190182954073
../PrefLib-Data/datasets/00053 - f1races/00053-00000021.soc,52,19,None,,False,0.000993067398667336,False,0.000992726534605026,False,0.0829242691397667,False,0.558907995000482,None,None,False,0.255110383033752
../PrefLib-Data/datasets/00053 - f1races/00053-00000022.soc,42,17,None,,False,0.000822924077510834,False,0.000805381685495377,False,0.0013964306563139,False,0.00514816120266914,None,None,False,0.223684873431921
../PrefLib-Data/datasets/00053 - f1races/00053-00000023.soc,33,15,None,,False,0.022359250113368,False,0.0228869076818228,False,0.0138748027384281,False,0.0378242786973715,None,None,False,0.0985594484955072
../PrefLib-Data/datasets/00053 - f1races/00053-00000024.soc,47,19,None,,False,0.00106129609048367,False,0.00103045627474785,False,0.121015461161733,False,0.494963875040412,None,None,False,0.138646217063069
../PrefLib-Data/datasets/00053 - f1races/00053-00000025.soc,40,16,None,,False,0.000768743455410004,False,0.000760296359658241,False,0.353391606360674,False,0.0131379403173924,None,None,False,0.987499596551061
../PrefLib-Data/datasets/00053 - f1races/00053-00000026.soc,33,14,None,,False,0.00105102732777596,False,0.00111869350075722,False,0.406682688742876,False,0.0299732480198145,None,None,False,15.3674261048436
../PrefLib-Data/datasets/00053 - f1races/00053-00000027.soc,42,17,None,,False,0.000810129567980766,False,0.000812646001577377,False,0.0143998973071575,False,0.00959675759077072,None,None,False,1.00260666199029
../PrefLib-Data/datasets/00053 - f1races/00053-00000028.soc,39,16,None,,False,0.000855056568980217,False,0.000814910978078842,False,0.554647656157613,False,0.0563130788505077,None,None,False,19.0579259060323
../PrefLib-Data/datasets/00053 - f1races/00053-00000029.soc,36,17,None,,False,0.00159887224435806,False,0.00162153504788876,False,0.126691741868854,False,0.0383585803210735,None,None,False,0.113848261535168
../PrefLib-Data/datasets/00053 - f1races/00053-00000030.soc,40,15,None,,False,0.0021826159209013,False,0.00218239426612854,False,0.0407897215336561,False,0.0105088725686073,None,None,False,1.45191866718233
../PrefLib-Data/datasets/00053 - f1races/00053-00000031.soc,39,11,None,,False,0.000379716977477074,False,0.000359831377863884,False,0.0879339501261711,False,0.00799649395048618,None,None,False,1.11457565799356
../PrefLib-Data/datasets/00053 - f1races/00053-00000032.soc,32,15,None,,False,0.00546319410204887,False,0.00557086616754532,False,0.122656976804137,False,0.0358979664742947,None,None,False,2.13007828593254
../PrefLib-Data/datasets/00053 - f1races/00053-00000033.soc,50,17,None,,False,0.000937271863222122,False,0.000930167734622955,False,0.0034844633191824,False,0.31568225286901,None,None,False,0.199116503819823
../PrefLib-Data/datasets/00053 - f1races/00053-00000034.soc,65,15,None,,False,0.00245003029704094,False,0.00253802724182606,False,0.427448621019721,False,0.0397314429283142,None,None,False,1.30698194727302
../PrefLib-Data/datasets/00053 - f1races/00053-00000035.soc,41,11,None,,False,0.00165237300097942,False,0.00169149599969387,False,0.00646867416799068,False,0.00662553124129772,None,None,False,0.293203515931964
../PrefLib-Data/datasets/00053 - f1races/00053-00000036.soc,51,13,None,,False,0.000589184463024139,False,0.000564005225896835,False,0.178590839728713,False,0.0674667004495859,None,None,False,0.148590311408043
